DAY,TICKER,COMPANY_NAME,TOTAL_SHARES,SHORTS,SIR,RSI,BF,ADV,PUBLIC,PRICE_PER_SHARE,SS
0,GME,GameStop Corp.,447908690,494679089,10.55,53.13,0.226,46895360.0,408656827,4.31,0
1,GME,GameStop Corp.,447908690,494679089,10.73,53.59,0.226,46093120.0,408656827,4.34,0
2,GME,GameStop Corp.,447908690,494679089,10.79,57.33,0.219,45827100.0,408656827,4.59,0
3,GME,GameStop Corp.,447908690,494679089,11.29,55.95,0.163,43828920.0,408656827,4.52,0
4,GME,GameStop Corp.,447908690,494679089,12.29,54.01,0.217,40253740.0,408656827,4.42,0
5,GME,GameStop Corp.,447908690,494679089,11.86,62.16,0.217,41723560.0,408656827,4.99,0
6,GME,GameStop Corp.,447908690,494679089,11.88,62.2,0.245,41636320.0,408656827,4.99,0
7,GME,GameStop Corp.,447908690,494679089,7.22,81.52,0.224,68535240.0,408656827,7.85,0
8,GME,GameStop Corp.,447908690,494679089,5.78,86.88,0.273,85640760.0,408656827,9.98,0
9,GME,GameStop Corp.,447908690,429253131,4.57,74.77,0.453,93841020.0,408656827,8.88,0
10,GME,GameStop Corp.,447908690,429253131,4.01,77.7,0.312,107146420.0,408656827,9.84,0
11,GME,GameStop Corp.,447908690,429253131,3.88,77.1,0.255,110517020.0,408656827,9.78,0
12,GME,GameStop Corp.,447908690,429253131,3.58,79.83,0.258,119785180.0,408656827,10.76,0
13,GME,GameStop Corp.,447908690,429253131,2.8,88.29,0.236,153086220.0,408656827,16.25,1
14,GME,GameStop Corp.,447908690,429253131,2.34,90.57,0.327,183494960.0,408656827,19.2,1
15,GME,GameStop Corp.,447908690,429253131,1.97,95.84,0.836,217960120.0,408656827,36.99,1
16,GME,GameStop Corp.,447908690,429253131,1.83,98.45,0.509,234846280.0,408656827,86.88,1
17,GME,GameStop Corp.,447908690,429253131,1.75,64.7,0.42,244761160.0,408656827,48.4,1
18,GME,GameStop Corp.,447908690,148751085,0.59,73.16,0.36,253687500.0,408656827,81.25,1
19,GME,GameStop Corp.,447908690,148751085,0.57,61.15,0.28,259779400.0,408656827,56.25,1
20,GME,GameStop Corp.,447908690,148751085,0.54,49.37,0.2,273411520.0,408656827,22.5,0
21,GME,GameStop Corp.,447908690,148751085,0.53,49.56,0.15,280958920.0,408656827,23.1,0
22,GME,GameStop Corp.,447908690,148751085,0.51,46.57,0.1,292233140.0,408656827,13.38,0
23,GME,GameStop Corp.,447908690,148751085,0.48,47.47,0.09,307276280.0,408656827,15.94,0
24,GME,GameStop Corp.,447908690,148751085,0.48,47.15,0.04,311117340.0,408656827,15.0,0
25,GME,GameStop Corp.,447908690,148751085,0.47,46.31,0.03,313504360.0,408656827,12.58,0
26,GME,GameStop Corp.,447908690,148751085,0.47,46.4,0.02,319383220.0,408656827,12.8,0
27,GME,GameStop Corp.,447908690,148751085,0.51,46.39,0.02,293094220.0,408656827,12.77,0
28,GME,GameStop Corp.,447908690,134162036,0.48,46.55,0.02,277265400.0,408656827,13.1,0
