DAY,TICKER,COMPANY_NAME,TOTAL_SHARES,SHORTS,SIR,RSI,BF,ADV,PUBLIC,PRICE_PER_SHARE,SS
0,TSLA,"Tesla, Inc.",1000000000,20000000,0.4,40.0,0.12,50000000.0,800000000,700.0,0
1,TSLA,"Tesla, Inc.",1000000000,19861736,0.39,40.08,0.12,51523029.86,800000000,703.48,0
2,TSLA,"Tesla, Inc.",1000000000,21430031,0.42,40.55,0.13,51039255.0,800000000,701.83,0
3,TSLA,"Tesla, Inc.",1000000000,20931001,0.43,39.89,0.13,49086207.03,800000000,698.58,0
4,TSLA,"Tesla, Inc.",1000000000,19871022,0.41,39.39,0.13,48194777.88,800000000,694.65,0
5,TSLA,"Tesla, Inc.",1000000000,19646702,0.42,39.31,0.13,46821469.43,800000000,704.83,0
6,TSLA,"Tesla, Inc.",1000000000,18516041,0.4,39.37,0.14,46259013.71,800000000,705.61,0
7,TSLA,"Tesla, Inc.",1000000000,20230884,0.45,39.98,0.14,45280440.42,800000000,701.37,0
8,TSLA,"Tesla, Inc.",1000000000,20442158,0.46,40.28,0.12,44077623.44,800000000,692.8,0
9,TSLA,"Tesla, Inc.",1000000000,20617315,0.47,39.74,0.12,43812184.73,800000000,697.92,0
10,TSLA,"Tesla, Inc.",1000000000,20142459,0.46,39.06,0.13,44113278.09,800000000,692.9,0
11,TSLA,"Tesla, Inc.",1000000000,19754633,0.44,39.77,0.12,44652939.02,800000000,695.14,0
12,TSLA,"Tesla, Inc.",1000000000,18925712,0.42,40.46,0.12,44948776.73,800000000,701.62,0
13,TSLA,"Tesla, Inc.",1000000000,18750025,0.43,41.07,0.11,43873416.24,800000000,698.25,0
14,TSLA,"Tesla, Inc.",1000000000,18682516,0.42,40.94,0.12,44190740.4,800000000,707.72,0
15,TSLA,"Tesla, Inc.",1000000000,20119235,0.44,39.83,0.12,45573595.63,800000000,710.28,0
16,TSLA,"Tesla, Inc.",1000000000,20206801,0.44,39.04,0.12,45657233.0,800000000,716.12,0
17,TSLA,"Tesla, Inc.",1000000000,20567606,0.46,38.84,0.13,45183977.32,800000000,714.55,0
18,TSLA,"Tesla, Inc.",1000000000,21508988,0.48,39.29,0.13,44705243.86,800000000,710.96,0
19,TSLA,"Tesla, Inc.",1000000000,22550717,0.51,39.3,0.12,44412279.54,800000000,711.65,0
20,TSLA,"Tesla, Inc.",1000000000,22884603,0.52,39.38,0.13,44416821.54,800000000,701.24,0
21,TSLA,"Tesla, Inc.",1000000000,22403288,0.51,39.5,0.12,43704129.42,800000000,691.31,0
22,TSLA,"Tesla, Inc.",1000000000,24516126,0.56,39.66,0.13,43929249.73,800000000,694.1,0
23,TSLA,"Tesla, Inc.",1000000000,24483625,0.53,39.76,0.13,46093417.29,800000000,680.79,0
24,TSLA,"Tesla, Inc.",1000000000,24441132,0.52,40.34,0.12,47146949.46,800000000,682.84,0
25,TSLA,"Tesla, Inc.",1000000000,23329809,0.51,40.83,0.13,45825089.44,800000000,688.24,0
26,TSLA,"Tesla, Inc.",1000000000,22174358,0.48,40.78,0.12,45916420.09,800000000,703.32,0
27,TSLA,"Tesla, Inc.",1000000000,22250375,0.48,40.52,0.12,46351333.47,800000000,692.41,0
28,TSLA,"Tesla, Inc.",1000000000,21378991,0.45,40.11,0.11,47105485.63,800000000,703.14,0
29,TSLA,"Tesla, Inc.",1000000000,22776260,0.48,40.44,0.11,47279430.98,800000000,704.74,0
30,TSLA,"Tesla, Inc.",1000000000,21367605,0.45,40.79,0.1,47772972.99,800000000,710.25,0
