DAY,TICKER,COMPANY_NAME,TOTAL_SHARES,SHORTS,SIR,RSI,BF,ADV,PUBLIC,PRICE_PER_SHARE,SS
0,MO,"Altria Group, Inc.",4400000000,40000000,0.14,35.0,0.06,280000000.0,4200000000,46.0,0
1,MO,"Altria Group, Inc.",4400000000,39723471,0.14,35.08,0.06,288528967.2,4200000000,46.23,0
2,MO,"Altria Group, Inc.",4400000000,42860062,0.15,35.55,0.06,285819828.0,4200000000,46.12,0
3,MO,"Altria Group, Inc.",4400000000,41862002,0.15,34.89,0.07,274882759.39,4200000000,45.91,0
4,MO,"Altria Group, Inc.",4400000000,39742045,0.15,34.39,0.07,269890756.12,4200000000,45.65,0
5,MO,"Altria Group, Inc.",4400000000,39293404,0.15,34.31,0.07,262200228.82,4200000000,46.32,0
6,MO,"Altria Group, Inc.",4400000000,37032082,0.14,34.37,0.07,259050476.78,4200000000,46.37,0
7,MO,"Altria Group, Inc.",4400000000,40461767,0.16,34.98,0.07,253570466.37,4200000000,46.09,0
8,MO,"Altria Group, Inc.",4400000000,40884317,0.17,35.28,0.06,246834691.25,4200000000,45.53,0
9,MO,"Altria Group, Inc.",4400000000,41234631,0.17,34.74,0.06,245348234.5,4200000000,45.86,0
10,MO,"Altria Group, Inc.",4400000000,40284917,0.16,34.06,0.06,247034357.31,4200000000,45.53,0
11,MO,"Altria Group, Inc.",4400000000,39509267,0.16,34.77,0.06,250056458.49,4200000000,45.68,0
12,MO,"Altria Group, Inc.",4400000000,37851423,0.15,35.46,0.06,251713149.7,4200000000,46.11,0
13,MO,"Altria Group, Inc.",4400000000,37500050,0.15,36.07,0.06,245691130.96,4200000000,45.89,0
14,MO,"Altria Group, Inc.",4400000000,37365031,0.15,35.94,0.06,247468146.24,4200000000,46.51,0
15,MO,"Altria Group, Inc.",4400000000,40238471,0.16,34.83,0.06,255212135.54,4200000000,46.68,0
16,MO,"Altria Group, Inc.",4400000000,40413603,0.16,34.04,0.06,255680504.81,4200000000,47.06,0
17,MO,"Altria Group, Inc.",4400000000,41135213,0.16,33.84,0.06,253030272.99,4200000000,46.96,0
18,MO,"Altria Group, Inc.",4400000000,43017976,0.17,34.29,0.06,250349365.61,4200000000,46.72,0
19,MO,"Altria Group, Inc.",4400000000,45101433,0.18,34.3,0.06,248708765.4,4200000000,46.77,0
20,MO,"Altria Group, Inc.",4400000000,45769206,0.18,34.38,0.06,248734200.63,4200000000,46.08,0
21,MO,"Altria Group, Inc.",4400000000,44806576,0.18,34.5,0.06,244743124.73,4200000000,45.43,0
22,MO,"Altria Group, Inc.",4400000000,49032252,0.2,34.66,0.06,246003798.48,4200000000,45.61,0
23,MO,"Altria Group, Inc.",4400000000,48967250,0.19,34.76,0.06,258123136.8,4200000000,44.74,0
24,MO,"Altria Group, Inc.",4400000000,48882263,0.19,35.34,0.06,264022917.0,4200000000,44.87,0
25,MO,"Altria Group, Inc.",4400000000,46659618,0.18,35.83,0.06,256620500.86,4200000000,45.23,0
26,MO,"Altria Group, Inc.",4400000000,44348715,0.17,35.78,0.06,257131952.52,4200000000,46.22,0
27,MO,"Altria Group, Inc.",4400000000,44500749,0.17,35.52,0.06,259567467.45,4200000000,45.5,0
28,MO,"Altria Group, Inc.",4400000000,42757981,0.16,35.11,0.06,263790719.53,4200000000,46.21,0
29,MO,"Altria Group, Inc.",4400000000,45552521,0.17,35.44,0.05,264764813.5,4200000000,46.31,0
30,MO,"Altria Group, Inc.",4400000000,42735209,0.16,35.79,0.05,267528648.72,4200000000,46.67,0
