DAY,TICKER,COMPANY_NAME,TOTAL_SHARES,SHORTS,SIR,RSI,BF,ADV,PUBLIC,PRICE_PER_SHARE,SS
0,DIS,The Walt Disney Company,1700000000,12000000,0.75,40.0,0.09,16000000.0,1460000000,100.0,0
1,DIS,The Walt Disney Company,1700000000,12108171,0.75,41.66,0.091,16102206.82,1460000000,104.25,0
2,DIS,The Walt Disney Company,1700000000,12001155,0.74,43.86,0.092,16205422.53,1460000000,107.31,0
3,DIS,The Walt Disney Company,1700000000,12113945,0.75,45.55,0.093,16252597.36,1460000000,109.59,0
4,DIS,The Walt Disney Company,1700000000,12066517,0.74,47.34,0.093,16332032.01,1460000000,112.98,0
5,DIS,The Walt Disney Company,1700000000,11979516,0.73,49.29,0.093,16402214.95,1460000000,119.39,0
6,DIS,The Walt Disney Company,1700000000,11907560,0.72,50.84,0.093,16506069.36,1460000000,127.4,0
7,DIS,The Walt Disney Company,1700000000,11829095,0.71,53.31,0.091,16663536.76,1460000000,134.6,0
8,DIS,The Walt Disney Company,1700000000,11782870,0.7,55.25,0.09,16782815.98,1460000000,143.82,0
9,DIS,The Walt Disney Company,1700000000,11781734,0.7,57.0,0.088,16936947.41,1460000000,147.75,0
10,DIS,The Walt Disney Company,1700000000,11737366,0.69,58.69,0.088,17037220.79,1460000000,156.57,0
11,DIS,The Walt Disney Company,1700000000,11801953,0.69,60.79,0.09,17191466.35,1460000000,168.81,0
12,DIS,The Walt Disney Company,1700000000,11704821,0.68,62.61,0.089,17215655.52,1460000000,181.53,0
13,DIS,The Walt Disney Company,1700000000,9631489,0.45,67.74,0.121,21272960.87,1460000000,250.1,1
14,DIS,The Walt Disney Company,1700000000,8051035,0.31,75.68,0.165,25686144.33,1460000000,352.27,1
15,DIS,The Walt Disney Company,1700000000,6683393,0.2,82.51,0.198,32917979.2,1460000000,512.36,1
16,DIS,The Walt Disney Company,1700000000,5165414,0.13,86.97,0.24,40681571.77,1460000000,740.78,1
17,DIS,The Walt Disney Company,1700000000,4068642,0.08,92.22,0.304,49076451.49,1460000000,1090.88,1
18,DIS,The Walt Disney Company,1700000000,3161495,0.05,98.11,0.403,63245867.1,1460000000,1489.09,1
19,DIS,The Walt Disney Company,1700000000,2461779,0.03,100.0,0.546,79444886.82,1460000000,1971.44,1
20,DIS,The Walt Disney Company,1700000000,2461168,0.04,75.25,0.412,60159314.68,1460000000,331.11,0
21,DIS,The Walt Disney Company,1700000000,2415039,0.05,72.78,0.32,46236307.7,1460000000,325.92,0
22,DIS,The Walt Disney Company,1700000000,2390820,0.07,69.47,0.234,33495656.67,1460000000,331.23,0
23,DIS,The Walt Disney Company,1700000000,2370713,0.1,67.89,0.16,23682442.0,1460000000,325.63,0
24,DIS,The Walt Disney Company,1700000000,2405938,0.13,66.57,0.13,18504110.14,1460000000,327.37,0
25,DIS,The Walt Disney Company,1700000000,2435526,0.17,62.9,0.107,14214850.98,1460000000,327.88,0
26,DIS,The Walt Disney Company,1700000000,2428424,0.24,58.92,0.087,10148365.09,1460000000,324.31,0
27,DIS,The Walt Disney Company,1700000000,2420402,0.3,55.93,0.061,7997048.32,1460000000,324.45,0
28,DIS,The Walt Disney Company,1700000000,2403285,0.41,53.02,0.046,5835431.0,1460000000,330.2,0
29,DIS,The Walt Disney Company,1700000000,2447741,0.56,49.93,0.032,4378178.86,1460000000,336.43,0
30,DIS,The Walt Disney Company,1700000000,2402398,0.73,46.08,0.025,3282461.22,1460000000,333.54,0
